Title,Domain,Theme,TagScore,CadenceDays,LastReviewed,Owner,Active,RecencyDays,EvidenceType,Synonyms,MustInclude,Exclude,Notes
BSG valorization – dietary fiber & arabinoxylans,Byproducts & Circularity,BSG,94,7,2026-03-05,,Yes,30,Paper,brewers spent grain; arabinoxylan; dietary fiber; soluble fiber,BSG; extraction,,
BSG valorization – protein hydrolysates & bioactive peptides,Byproducts & Circularity,BSG,93,7,2026-03-07,,Yes,60,Paper,spent grain protein; enzymatic hydrolysis; bioactive peptides,BSG; protein,,
BSG solid-state fermentation (SSF) to enhance nutrition,Byproducts & Circularity,BSG,88,7,2026-03-05,,Yes,120,Paper,solid-state fermentation; SSF; fungal fermentation; Aspergillus; Rhizopus,BSG; fermentation,,
BSG as substrate for lactic fermentation / functional ingredients,Byproducts & Circularity,BSG,86,7,2026-03-05,,Yes,120,Paper,lactic fermentation; probiotic fermentation; spent grain substrate,BSG; fermentation,,
"BSG extraction – green solvents (NADES, subcritical water, scCO2)",Byproducts & Circularity,Extraction,90,7,2026-03-06,,Yes,90,Paper,NADES; deep eutectic solvents; subcritical water extraction; supercritical CO2,spent grain; extraction,toxic solvent,
BSY valorization – yeast extract (umami),Byproducts & Circularity,BSY,92,7,2026-03-05,,Yes,60,Paper,brewer's spent yeast; yeast extract; autolysis; savory,spent yeast; yeast extract,,
BSY beta-glucans & cell wall fractions,Byproducts & Circularity,BSY,88,7,2026-03-06,,Yes,120,Paper,beta-glucans; mannoproteins; yeast cell wall,spent yeast; beta-glucan,,
BSY as source of vitamins / CoQ10 / bioactives,Byproducts & Circularity,BSY,85,7,2026-03-03,,Yes,180,Paper,Coenzyme Q10; ubiquinone; yeast biosynthesis; vitamins,yeast; bioactive,,from ideation: CoQ10
Spent hops / trub valorization,Byproducts & Circularity,Other streams,80,14,2026-03-09,,Yes,180,Paper,spent hops; hop residue; trub; hot break valorization,brewery; byproduct,,
CO2 recovery and reuse in breweries,Byproducts & Circularity,Circular operations,90,7,2026-03-09,,Yes,90,Paper,CO2 recovery; CO2 capture brewery; fermentation CO2 reuse,brewery; CO2,,
Enzymes for gluten reduction in beer,Biotech applied,Enzymes,92,7,2026-03-03,,Yes,180,Paper,prolyl endopeptidase; glutenase; gluten reduction brewing,beer; gluten,bread,from ideation: gluten; enzimas
Enzymatic clarification / flocculants for beer matrices,Biotech applied,Enzymes,88,7,2026-03-03,,Yes,120,Paper,enzymatic clarification; flocculants; suspended solids; fining agents,beer; clarification,,"from ideation: enzimas, floculantes"
Non-conventional yeasts for aroma modulation,Biotech applied,Microorganisms,86,7,2026-03-09,,Yes,120,Paper,non-conventional yeast; Lachancea; Torulaspora; Pichia; aroma profile,yeast; fermentation,wine,
"Lactic acid bacteria in brewing (sour, stability, bioprotection)",Biotech applied,Microorganisms,84,14,2026-02-27,,Yes,180,Paper,lactic acid bacteria; Lactobacillus; bioprotection; sour beer,beer; bacteria,,
CRISPR / strain engineering for brewing-relevant yeasts,Biotech applied,Strain Engineering,80,14,2026-03-07,,Yes,365,Paper,CRISPR yeast; strain engineering; Saccharomyces; brewing traits,yeast; brewing,human gene,
"Bioprocess optimization: fed-batch, continuous fermentation",Biotech applied,Bioprocess,82,14,2026-03-03,,Yes,180,Paper,continuous fermentation; fed-batch optimization; bioprocess control,fermentation; process,,
"Microbial production of functional compounds (GABA, tryptophan metabolites)",Biotech applied,Functional Biotech,90,7,2026-03-03,,Yes,180,Paper,microbial GABA production; psychobiotics; tryptophan metabolites,microbial; production,clinical drug,Connects to gut-brain & functional beverages
Probiotics / postbiotics in beverages,Biotech applied,Functional Biotech,88,7,2026-03-06,,Yes,180,Paper,probiotic beverage; postbiotics; paraprobiotics; fermented drinks,beverage; probiotic,clinical trial only,
"Biocatalysis for flavor/aroma synthesis (esters, terpenes)",Biotech applied,Biocatalysis,85,7,2026-03-04,,Yes,180,Paper,enzymatic synthesis esters; biocatalysis terpenes; aroma biosynthesis,flavor; aroma,perfume only,
Enzymatic removal of off-flavor precursors (aldehydes),Biotech applied,Enzymes,80,14,2026-03-06,,Yes,180,Paper,aldehyde reduction enzyme; off-flavor precursor removal,beer; off-flavor,,
Phosphorus removal – struvite precipitation,Water & Environment,Phosphorus,96,7,2026-03-09,,Yes,365,Paper,struvite precipitation; MgNH4PO4; nutrient recovery,phosphorus; wastewater,soil phosphorus,High priority: sites without WWTP
Phosphorus removal – electrocoagulation (Al/Fe),Water & Environment,Phosphorus,96,7,2026-03-04,,Yes,365,Paper,electrocoagulation phosphate; aluminum electrode; iron electrode,phosphate; wastewater,,
"Phosphorus removal – adsorption (La, Zr, Fe oxides, resins)",Water & Environment,Phosphorus,94,7,2026-03-05,,Yes,365,Paper,phosphate adsorption; lanthanum; zirconium; iron oxide; ion exchange resin,phosphate; adsorption,,
Phosphorus removal – constructed wetlands / nature-based,Water & Environment,Phosphorus,85,7,2026-03-03,,Yes,365,Paper,constructed wetlands phosphorus; nature-based solutions,phosphorus; wastewater,,
Phosphorus removal – biological EBPR,Water & Environment,Phosphorus,88,7,2026-03-07,,Yes,365,Paper,enhanced biological phosphorus removal; EBPR; PAOs,phosphorus; EBPR,,
"Brewery wastewater treatment (high COD, nutrients)",Water & Environment,Industrial effluent,94,7,2026-03-07,,Yes,365,Paper,brewery wastewater; high COD; nutrient removal; anaerobic digestion brewery,brewery; wastewater,,
Package plants / decentralized treatment for factories,Water & Environment,Industrial effluent,90,7,2026-03-06,,Yes,365,Paper,decentralized wastewater treatment; package plant; modular WWTP,factory; wastewater,,For sites without depuration
"Advanced oxidation for reuse (ozone, UV/H2O2)",Water & Environment,Water reuse,86,7,2026-03-08,,Yes,365,Paper,ozone AOP; UV H2O2; advanced oxidation,water reuse; treatment,,
Membrane bioreactor (MBR) for industrial water reuse,Water & Environment,Water reuse,84,14,2026-02-24,,Yes,365,Paper,MBR industrial reuse; membrane bioreactor,industrial water; MBR,,
"Anaerobic digestion intensification (two-stage, THP, temperature-phased)",Water & Environment,Anaerobic digestion,90,7,2026-03-08,,Yes,365,Paper,two-stage anaerobic digestion; thermal hydrolysis; temperature-phased,anaerobic digestion; industrial,,
PEF – barrier properties (O2/CO2/H2O),Materials & Packaging,PEF,92,7,2026-03-03,,Yes,180,Paper,polyethylene furanoate barrier; oxygen permeability; CO2 permeability,PEF; packaging,textile,
PEF – recyclability & end-of-life (mechanical/chemical),Materials & Packaging,PEF,92,7,2026-03-05,,Yes,180,Paper,PEF recycling; chemical recycling; depolymerization,PEF; recycling,,
FDCA production routes (bio-based),Materials & Packaging,Monomers,88,7,2026-03-09,,Yes,365,Paper,FDCA production; HMF oxidation; biobased FDCA,FDCA,pharma,"from ideation: FDCA, PEF"
rPET food-contact – EFSA assessments (process-specific),Materials & Packaging,rPET,95,7,2026-03-03,,Yes,365,Regulation,EFSA recycled PET process; challenge test; decontamination,recycled PET; food contact,,
Monomaterial packaging & design for recycling,Materials & Packaging,Design for recycling,90,7,2026-03-09,,Yes,365,Paper,monomaterial packaging; design for recycling; recyclability guidelines,packaging; recyclability,,"from ideation: monomaterial, reciclabilidad"
Smart packaging – freshness indicators (colorimetric),Materials & Packaging,Smart pack,88,7,2026-03-08,,Yes,365,Paper,freshness indicator; colorimetric indicator; intelligent packaging,indicator; packaging,,
Smart packaging – RFID/NFC traceability,Materials & Packaging,Smart pack,88,7,2026-03-05,,Yes,365,Paper,RFID packaging; NFC packaging; traceability,RFID; packaging,,
Active packaging – oxygen scavengers,Materials & Packaging,Active pack,84,14,2026-03-05,,Yes,365,Paper,oxygen scavenger packaging; antioxidant films,active packaging; oxygen,,
Active packaging – antimicrobial films,Materials & Packaging,Active pack,84,14,2026-02-26,,Yes,365,Paper,antimicrobial packaging; silver-free; natural antimicrobials,active packaging; antimicrobial,,
Returnable packaging – durability & washing impacts,Materials & Packaging,Returnables,82,14,2026-03-02,,Yes,365,Paper,returnable bottle washing; durability; abrasion; alkali resistance,returnable; washing,,
Glass bottle lightstruck protection / coatings,Materials & Packaging,Packaging quality,80,14,2026-02-25,,Yes,365,Paper,lightstruck; 3-methyl-2-butene-1-thiol; bottle coatings,beer; lightstruck,,
Computer vision for defect detection in bottling (edge inference),Analytics & Digital,AI/Automation,90,7,2026-03-04,,Yes,365,Paper,edge inference; computer vision; defect detection; fill level; label inspection,bottling; vision,autonomous driving,from ideation: visión por computadora
Anomaly detection for batch processes (time series),Analytics & Digital,AI/Automation,82,14,2026-03-02,,Yes,365,Paper,anomaly detection; time series; process monitoring,process; monitoring,,
PAT – spectroscopy (NIR/Raman/FTIR) for fermentation,Analytics & Digital,PAT,86,7,2026-03-06,,Yes,365,Paper,NIR spectroscopy; Raman; FTIR; fermentation monitoring,fermentation; spectroscopy,,
NMR fingerprinting for authenticity / QC,Analytics & Digital,Fingerprinting,86,7,2026-03-09,,Yes,365,Paper,NMR fingerprinting; metabolomics; authenticity,NMR; authenticity,,
"Rapid microbiology (ATP, flow cytometry)",Analytics & Digital,Microbiology QC,84,14,2026-03-02,,Yes,365,Paper,rapid microbiology; ATP bioluminescence; flow cytometry,microbiology; QC,,
Biosensors for spoilage / contaminants,Analytics & Digital,Sensors,84,14,2026-03-09,,Yes,365,Paper,biosensor; pathogen detection; spoilage detection,sensor; detection,,
Inline dissolved oxygen & CO2 sensing improvements,Analytics & Digital,Sensors,82,14,2026-02-28,,Yes,365,Paper,dissolved oxygen sensor; inline CO2 sensor; fermentation control,inline sensor; fermentation,,
Digital twins for breweries / process simulation,Analytics & Digital,Digital twin,80,14,2026-03-07,,Yes,365,Paper,digital twin brewery; process simulation; model predictive control,brewery; model,,
Predictive maintenance for brewery equipment,Analytics & Digital,Industry 4.0,78,14,2026-03-04,,Yes,365,Paper,predictive maintenance; vibration analysis; condition monitoring,brewery; maintenance,,
Data governance / data curation for industrial AI,Analytics & Digital,AI Ops,75,14,2026-03-02,,Yes,365,Paper,data curation; MLOps; industrial AI governance,industrial AI,consumer AI,
Gut–brain axis discoveries relevant to functional beverages,Neuroscience & Functional,Gut-Brain,90,7,2026-03-05,,Yes,365,Paper,gut-brain axis; microbiota brain; psychobiotics; vagus nerve,gut-brain; microbiota,gut-lung,
GABA production via fermentation (food-grade),Neuroscience & Functional,GABA,92,7,2026-03-05,,Yes,365,Paper,GABA fermentation; Lactobacillus GABA; yeast GABA,GABA; fermentation,gabapentin,
GABAA/GABAB receptor modulators from food-derived compounds,Neuroscience & Functional,GABA,82,14,2026-03-04,,Yes,365,Paper,GABAA modulator; GABAB modulator; phytochemicals; hop compounds,GABA; compound,drug trial,
Stress/anxiety biomarkers for product claims,Neuroscience & Functional,Biomarkers,80,14,2026-03-03,,Yes,365,Paper,stress biomarkers; cortisol; HRV; sleep quality,stress; biomarker,psychiatry only,
Sleep modulation via non-alcohol beverages (melatonin alternatives),Neuroscience & Functional,Sleep,78,14,2026-02-26,,Yes,365,Paper,sleep beverage; relaxation drink; non-alcohol sleep,sleep; beverage,sleep medication,
Alcohol harm reduction & public health (moderation tools),Neuroscience & Functional,Alcohol alternatives,75,14,2026-02-27,,Yes,365,Paper,alcohol harm reduction; low-risk drinking; moderation,alcohol; harm reduction,,
Ohmic heating in brewing (process efficiency),Brewing & Process,Thermal/Energy,78,14,2026-02-28,,Yes,365,Paper,ohmic heating; electrical heating; rapid heating,brewing; heating,,from ideation: óhmicas
UHT / high-temperature short-time for beverages,Brewing & Process,Thermal/Energy,75,14,2026-03-09,,Yes,365,Paper,UHT; ultra high temperature; HTST,beverage; thermal,milk,from ideation: UHT
Low-energy dealcoholization (energy efficiency),Brewing & Process,NOLO/Process,88,7,2026-03-06,,Yes,90,Paper,energy efficient dealcoholization; low energy membranes; heat integration,dealcoholization; energy,,
Aroma retention during dealcoholization,Brewing & Process,NOLO/Sensory,86,7,2026-03-04,,Yes,90,Paper,aroma retention; volatile losses; dealcoholization aroma,non-alcoholic; aroma,,
Worty flavor reduction in NA beer,Brewing & Process,NOLO/Sensory,86,7,2026-03-07,,Yes,90,Paper,worty flavor; aldehydes; Strecker aldehydes; NA beer,non-alcoholic; worty,,
Hop aroma biotransformation by yeast,Brewing & Process,Flavor/Aroma,84,14,2026-03-07,,Yes,365,Paper,hop biotransformation; thiols; glycosides; beta-lyase,hop; yeast,wine,
Thiols in beer (3MH/3MHA) & release mechanisms,Brewing & Process,Flavor/Aroma,80,14,2026-03-07,,Yes,365,Paper,volatile thiols; 3MH; 3MHA; thiol release,beer; thiol,,
"Low-alcohol fermentation strategies (arrested, cold contact)",Brewing & Process,NOLO/Process,82,14,2026-03-06,,Yes,180,Paper,arrested fermentation; cold contact; low alcohol fermentation,low alcohol; beer,,
"Foam stability: proteins, polysaccharides, lipids",Brewing & Process,Quality/Sensory,82,14,2026-03-07,,Yes,365,Paper,foam stability; LTP1; protein Z; iso-alpha acids,beer; foam,,
Foam-negative lipids control,Brewing & Process,Quality/Sensory,75,14,2026-02-24,,Yes,365,Paper,foam negative lipids; antifoam; lipid removal,beer; foam,,
"Filtration alternatives (crossflow, membranes)",Brewing & Process,Process,78,14,2026-02-27,,Yes,365,Paper,crossflow filtration; membrane filtration; kieselguhr alternatives,beer; filtration,,
"Pasteurization alternatives (HPP, PEF, UV-C)",Brewing & Process,Process,80,14,2026-03-01,,Yes,365,Paper,high pressure processing; pulsed electric field; UV-C; non-thermal,beer; stabilization,,
Oxygen pickup reduction in packaging lines,Brewing & Process,Packaging line,78,14,2026-02-26,,Yes,365,Paper,oxygen pickup; DO control; bottling oxygen,bottling; oxygen,,
CO2/N2 dosing and carbonation control,Brewing & Process,Packaging line,76,14,2026-03-04,,Yes,365,Paper,carbonation control; CO2 dosing; nitrogen dosing,carbonation; beer,,
Nitrogenation & widget tech,Brewing & Process,Packaging line,70,14,2026-02-27,,Yes,365,Paper,nitrogen widget; nitrogenated beer,nitrogen; beer,,
"Alternative bittering (isomerized extracts, hop products)",Brewing & Process,Ingredients,74,14,2026-02-27,,Yes,365,Paper,isomerized hop extract; bittering compounds,bitterness; beer,,
Sustainable hop cultivation impacts on aroma compounds,Brewing & Process,Ingredients,70,14,2026-02-25,,Yes,365,Paper,hop cultivation; terroir; sustainable agriculture hop,hop; aroma,,
"Mycotoxin risk management (barley, malt)",Brewing & Process,Food Safety,82,14,2026-02-25,,Yes,365,Paper,mycotoxins; DON; Fusarium; barley malt,mycotoxin; malt,,
Allergens & labeling in beverages,Brewing & Process,Regulatory,68,30,2026-02-23,,Yes,365,Regulation,allergen labeling; gluten labeling; beverage regulation,labeling; allergen,,
Precision fermentation for functional ingredients,Biotech applied,Precision fermentation,85,7,2026-03-04,,Yes,365,Paper,precision fermentation; microbial cell factory; functional ingredients,precision fermentation,synthetic biology hype,
Enzyme immobilization for industrial reuse,Biotech applied,Enzymes,78,14,2026-03-07,,Yes,365,Paper,immobilized enzymes; enzyme reuse; biocatalyst stability,enzyme immobilization,,
Metabolic engineering for CoQ10 production,Biotech applied,Strain Engineering,76,14,2026-03-05,,Yes,365,Paper,CoQ10 biosynthesis; metabolic engineering; ubiquinone,CoQ10; production,clinical,
"Yeast stress tolerance (ethanol, osmotic, temperature)",Biotech applied,Strain Engineering,78,14,2026-03-01,,Yes,365,Paper,yeast stress tolerance; temperature tolerance; osmotic stress,yeast; tolerance,,
Phage control in fermentation,Biotech applied,Microbiology,72,14,2026-03-04,,Yes,365,Paper,bacteriophage control; fermentation phage,fermentation; phage,,
Antimicrobial peptides / natural preservatives for beverages,Biotech applied,Food preservation,75,14,2026-03-07,,Yes,365,Paper,bacteriocins; nisin; antimicrobial peptides beverage,beverage; preservative,,
Biotransformation of polyphenols (bioavailability),Biotech applied,Functional Biotech,72,14,2026-03-01,,Yes,365,Paper,polyphenol biotransformation; bioavailability; gut microbiota,polyphenol; bioavailability,,
Cell-free systems for bioproduction (enzymatic cascades),Biotech applied,Bioprocess,70,14,2026-03-05,,Yes,365,Paper,cell-free biosynthesis; enzymatic cascade,cell-free; biosynthesis,,
Ammonia stripping / air stripping for industrial effluent,Water & Environment,Nutrients,75,14,2026-02-28,,Yes,365,Paper,ammonia stripping; air stripping; nutrient removal,ammonia; wastewater,,
Coagulation/flocculation optimization for effluents,Water & Environment,Industrial effluent,78,14,2026-02-28,,Yes,365,Paper,coagulation; flocculation; PAC; ferric chloride,wastewater; coagulation,,
Electrooxidation for wastewater polishing,Water & Environment,Advanced treatment,72,14,2026-02-28,,Yes,365,Paper,electrooxidation; electrochemical oxidation; BDD electrode,wastewater; electrochemical,,
Sludge minimization and handling for small plants,Water & Environment,Operations,70,14,2026-03-03,,Yes,365,Paper,sludge minimization; dewatering; sludge management,sludge; wastewater,,
Low-cost phosphorus test kits / monitoring,Water & Environment,Monitoring,68,30,2026-02-19,,Yes,365,Paper,phosphate sensor; colorimetric phosphate; online phosphate monitoring,phosphate; monitoring,,
PLA compostability – industrial vs home,Materials & Packaging,Biopolymers,72,14,2026-02-28,,Yes,365,Paper,PLA compostability; industrial compost; home compost,PLA; compost,,
PBS blends for flexible packaging,Materials & Packaging,Biopolymers,68,30,2026-03-01,,Yes,365,Paper,PBS blend; flexible packaging,PBS; packaging,,
Migration testing methods (food contact materials),Materials & Packaging,Compliance,80,14,2026-03-01,,Yes,365,Paper,migration testing; NIAS; food contact materials,migration; food contact,,
Recyclability of multilayer packaging (delamination),Materials & Packaging,Recycling,78,14,2026-03-07,,Yes,365,Paper,multilayer recycling; delamination; compatibilizers,multilayer; recycling,,
Nanomaterials / advanced carbon for electrochemical applications,Materials & Packaging,Advanced materials,65,30,2026-02-22,,Yes,365,Paper,advanced carbon; nanomaterials; supercapacitor; battery electrode,carbon; electrochemical,,"from ideation: carbón avanzado, supercondensadores"
